t;T;H;rain;fog
115,4955102;-4,630930702;-3,241651491;TRUE;FALSE
116,1616327;-4,770011213;-3,339007849;TRUE;FALSE
116,8277551;-4,909091725;-3,436364207;TRUE;FALSE
117,4938776;-5,048172236;-3,533720565;TRUE;FALSE
118,16;-5,187252747;-3,631076923;TRUE;FALSE
118,8261224;-5,326333259;-3,728433281;TRUE;FALSE
119,4922449;-5,46541377;-3,825789639;TRUE;FALSE
120,1583673;-5,604494281;-3,923145997;TRUE;FALSE
120,8244898;-5,743574793;-4,020502355;TRUE;FALSE
121,4906122;-5,882655304;-4,117858713;TRUE;FALSE
122,1567347;-6,021735815;-4,215215071;TRUE;FALSE
122,8228571;-6,160816327;-4,312571429;TRUE;FALSE
123,4889796;-6,299896838;-4,409927786;TRUE;FALSE
124,155102;-6,438977349;-4,507284144;TRUE;FALSE
124,8212245;-6,578057861;-4,604640502;TRUE;FALSE
125,4873469;-6,717138372;-4,70199686;TRUE;FALSE
126,1534694;-6,856218883;-4,799353218;TRUE;FALSE
126,8195918;-6,995299394;-4,896709576;TRUE;FALSE
127,4857143;-7,134379906;-4,994065934;TRUE;FALSE
128,1518367;-7,273460417;-5,091422292;TRUE;FALSE
128,8179592;-7,412540928;-5,18877865;TRUE;FALSE
129,4840816;-7,55162144;-5,286135008;TRUE;FALSE
130,1502041;-7,690701951;-5,383491366;TRUE;FALSE
130,8163265;-7,829782462;-5,480847724;TRUE;FALSE
131,482449;-7,968862974;-5,578204082;TRUE;FALSE
132,1485714;-8,107943485;-5,67556044;TRUE;FALSE
132,8146939;-8,247023996;-5,772916797;TRUE;FALSE
133,4808163;-8,386104508;-5,870273155;TRUE;FALSE
134,1469388;-8,525185019;-5,967629513;TRUE;FALSE
134,8130612;-8,66426553;-6,064985871;TRUE;FALSE
135,4791837;-8,803346042;-6,162342229;TRUE;FALSE
136,1453061;-8,942426553;-6,259698587;TRUE;FALSE
136,8114286;-9,081507064;-6,357054945;TRUE;FALSE
137,477551;-9,220587576;-6,454411303;TRUE;FALSE
138,1436735;-9,359668087;-6,551767661;TRUE;FALSE
138,8097959;-9,498748598;-6,649124019;TRUE;FALSE
139,4759184;-9,63782911;-6,746480377;TRUE;FALSE
140,1420408;-9,776909621;-6,843836735;TRUE;FALSE
140,8081633;-9,915990132;-6,941193093;TRUE;FALSE
141,4742857;-10,05507064;-7,038549451;TRUE;FALSE
142,1404082;-10,19415115;-7,135905808;TRUE;FALSE
142,8065306;-10,33323167;-7,233262166;TRUE;FALSE
143,4726531;-10,47231218;-7,330618524;TRUE;FALSE
144,1387755;-10,61139269;-7,427974882;TRUE;FALSE
144,804898;-10,7504732;-7,52533124;TRUE;FALSE
145,4710204;-10,88955371;-7,622687598;TRUE;FALSE
146,1371429;-11,02863422;-7,720043956;TRUE;FALSE
146,8032653;-11,16771473;-7,817400314;TRUE;FALSE
147,4693878;-11,30679525;-7,914756672;TRUE;FALSE
148,1355102;-11,44587576;-8,01211303;TRUE;FALSE
148,8016327;-11,58495627;-8,109469388;TRUE;FALSE
149,4677551;-11,72403678;-8,206825746;TRUE;FALSE
150,1338776;-11,86311729;-8,304182104;TRUE;FALSE
150,8;-12,0021978;-8,401538462;TRUE;FALSE
151,4661224;-12,14127831;-8,498894819;TRUE;FALSE
152,1322449;-12,28035882;-8,596251177;TRUE;FALSE
152,7983673;-12,41943934;-8,693607535;TRUE;FALSE
153,4644898;-12,55851985;-8,790963893;TRUE;FALSE
154,1306122;-12,69760036;-8,888320251;TRUE;FALSE
154,7967347;-12,83668087;-8,985676609;TRUE;FALSE
155,4628571;-12,97576138;-9,083032967;TRUE;FALSE
156,1289796;-13,11484189;-9,180389325;TRUE;FALSE
156,795102;-13,2539224;-9,277745683;TRUE;FALSE
157,4612245;-13,39300292;-9,375102041;TRUE;FALSE
158,1273469;-13,53208343;-9,472458399;TRUE;FALSE
158,7934694;-13,67116394;-9,569814757;TRUE;FALSE
159,4595918;-13,81024445;-9,667171115;TRUE;FALSE
160,1257143;-13,94932496;-9,764527473;TRUE;FALSE
160,7918367;-14,08840547;-9,86188383;TRUE;FALSE
161,4579592;-14,22748598;-9,959240188;TRUE;FALSE
162,1240816;-14,36656649;-10,05659655;TRUE;FALSE
162,7902041;-14,50564701;-10,1539529;TRUE;FALSE
163,4563265;-14,64472752;-10,25130926;TRUE;FALSE
164,122449;-14,78380803;-10,34866562;TRUE;FALSE
164,7885714;-14,92288854;-10,44602198;TRUE;FALSE
165,4546939;-15,06196905;-10,54337834;TRUE;FALSE
166,1208163;-15,20104956;-10,64073469;TRUE;FALSE
166,7869388;-15,34013007;-10,73809105;TRUE;FALSE
167,4530612;-15,47921059;-10,83544741;TRUE;FALSE
168,1191837;-15,6182911;-10,93280377;TRUE;FALSE
168,7853061;-15,75737161;-11,03016013;TRUE;FALSE
169,4514286;-15,89645212;-11,12751648;TRUE;FALSE
170,117551;-16,03553263;-11,22487284;TRUE;FALSE
170,7836735;-16,17461314;-11,3222292;TRUE;FALSE
171,4497959;-16,31369365;-11,41958556;TRUE;FALSE
172,1159184;-16,45277416;-11,51694192;TRUE;FALSE
172,7820408;-16,59185468;-11,61429827;TRUE;FALSE
173,4481633;-16,73093519;-11,71165463;TRUE;FALSE
174,1142857;-16,8700157;-11,80901099;TRUE;FALSE
174,7804082;-17,00909621;-11,90636735;TRUE;FALSE
175,4465306;-17,14817672;-12,0037237;TRUE;FALSE
176,1126531;-17,28725723;-12,10108006;TRUE;FALSE
176,7787755;-17,42633774;-12,19843642;TRUE;FALSE
177,444898;-17,56541826;-12,29579278;TRUE;FALSE
178,1110204;-17,70449877;-12,39314914;TRUE;FALSE
178,7771429;-17,84357928;-12,49050549;TRUE;FALSE
179,4432653;-17,98265979;-12,58786185;TRUE;FALSE
180,1093878;-18,1217403;-12,68521821;TRUE;FALSE
180,7755102;-18,26082081;-12,78257457;TRUE;FALSE
181,4416327;-18,39990132;-12,87993093;TRUE;FALSE
182,1077551;-18,53898183;-12,97728728;TRUE;FALSE
182,7738776;-18,67806235;-13,07464364;TRUE;FALSE
183,44;-18,81714286;-13,172;TRUE;FALSE
184,1061224;-18,95622337;-13,26935636;TRUE;FALSE
184,7722449;-19,09530388;-13,36671272;TRUE;FALSE
185,4383673;-19,23438439;-13,46406907;TRUE;FALSE
186,1044898;-19,3734649;-13,56142543;TRUE;FALSE
186,7706122;-19,51254541;-13,65878179;TRUE;FALSE
187,4367347;-19,65162593;-13,75613815;TRUE;FALSE
188,1028571;-19,79070644;-13,85349451;TRUE;FALSE
188,7689796;-19,92978695;-13,95085086;TRUE;FALSE
189,435102;-20,06886746;-14,04820722;TRUE;FALSE
190,1012245;-20,20794797;-14,14556358;TRUE;FALSE
190,7673469;-20,34702848;-14,24291994;TRUE;FALSE
191,4334694;-20,48610899;-14,3402763;TRUE;FALSE
192,0995918;-20,6251895;-14,43763265;TRUE;FALSE
192,7657143;-20,76427002;-14,53498901;TRUE;FALSE
193,4318367;-20,90335053;-14,63234537;TRUE;FALSE
194,0979592;-21,04243104;-14,72970173;TRUE;FALSE
194,7640816;-21,18151155;-14,82705808;TRUE;FALSE
195,4302041;-21,32059206;-14,92441444;TRUE;FALSE
196,0963265;-21,45967257;-15,0217708;TRUE;FALSE
196,762449;-21,59875308;-15,11912716;TRUE;FALSE
197,4285714;-21,73783359;-15,21648352;TRUE;FALSE
198,0946939;-21,87691411;-15,31383987;TRUE;FALSE
198,7608163;-22,01599462;-15,41119623;TRUE;FALSE
199,4269388;-22,15507513;-15,50855259;TRUE;FALSE
200,0930612;-22,29415564;-15,60590895;TRUE;FALSE
200,7591837;-22,43323615;-15,70326531;TRUE;FALSE
201,4253061;-22,57231666;-15,80062166;TRUE;FALSE
202,0914286;-22,71139717;-15,89797802;TRUE;FALSE
202,757551;-22,85047769;-15,99533438;TRUE;FALSE
203,4236735;-22,9895582;-16,09269074;TRUE;FALSE
204,0897959;-23,12863871;-16,1900471;TRUE;FALSE
204,7559184;-23,26771922;-16,28740345;TRUE;FALSE
205,4220408;-23,40679973;-16,38475981;TRUE;FALSE
206,0881633;-23,54588024;-16,48211617;TRUE;FALSE
206,7542857;-23,68496075;-16,57947253;TRUE;FALSE
207,4204082;-23,82404126;-16,67682889;TRUE;FALSE
208,0865306;-23,96312178;-16,77418524;TRUE;FALSE
208,7526531;-24,10220229;-16,8715416;TRUE;FALSE
209,4187755;-24,2412828;-16,96889796;TRUE;FALSE
210,084898;-24,38036331;-17,06625432;TRUE;FALSE
210,7510204;-24,51944382;-17,16361068;TRUE;FALSE
211,4171429;-24,65852433;-17,26096703;TRUE;FALSE
212,0832653;-24,79760484;-17,35832339;TRUE;FALSE
212,7493878;-24,93668536;-17,45567975;TRUE;FALSE
213,4155102;-25,07576587;-17,55303611;TRUE;FALSE
214,0816327;-25,21484638;-17,65039246;TRUE;FALSE
214,7477551;-25,35392689;-17,74774882;TRUE;FALSE
215,4138776;-25,4930074;-17,84510518;TRUE;FALSE
216,08;-25,63208791;-17,94246154;TRUE;FALSE
216,7461224;-25,77116842;-18,0398179;TRUE;FALSE
217,4122449;-25,91024893;-18,13717425;TRUE;FALSE
218,0783673;-26,04932945;-18,23453061;TRUE;FALSE
218,7444898;-26,18840996;-18,33188697;TRUE;FALSE
219,4106122;-26,32749047;-18,42924333;TRUE;FALSE
220,0767347;-26,46657098;-18,52659969;TRUE;FALSE
220,7428571;-26,60565149;-18,62395604;TRUE;FALSE
221,4089796;-26,744732;-18,7213124;TRUE;FALSE
222,075102;-26,88381251;-18,81866876;TRUE;FALSE
222,7412245;-27,02289303;-18,91602512;TRUE;FALSE
223,4073469;-27,16197354;-19,01338148;TRUE;FALSE
224,0734694;-27,30105405;-19,11073783;TRUE;FALSE
224,7395918;-27,44013456;-19,20809419;TRUE;FALSE
225,4057143;-27,57921507;-19,30545055;TRUE;FALSE
226,0718367;-27,71829558;-19,40280691;TRUE;FALSE
226,7379592;-27,85737609;-19,50016327;TRUE;FALSE
227,4040816;-27,9964566;-19,59751962;TRUE;FALSE
228,0702041;-28,13553712;-19,69487598;TRUE;FALSE
228,7363265;-28,27461763;-19,79223234;TRUE;FALSE
229,402449;-28,41369814;-19,8895887;TRUE;FALSE
230,0685714;-28,55277865;-19,98694505;TRUE;FALSE
230,7346939;-28,69185916;-20,08430141;TRUE;FALSE
231,4008163;-28,83093967;-20,18165777;TRUE;FALSE
232,0669388;-28,97002018;-20,27901413;TRUE;FALSE
232,7330612;-29,1091007;-20,37637049;TRUE;FALSE
233,3991837;-29,24818121;-20,47372684;TRUE;FALSE
234,0653061;-29,38726172;-20,5710832;TRUE;FALSE
234,7314286;-29,52634223;-20,66843956;TRUE;FALSE
235,397551;-29,66542274;-20,76579592;TRUE;FALSE
236,0636735;-29,80450325;-20,86315228;TRUE;FALSE
236,7297959;-29,94358376;-20,96050863;TRUE;FALSE
237,3959184;-30,08266427;-21,05786499;TRUE;FALSE
238,0620408;-30,22174479;-21,15522135;TRUE;FALSE
238,7281633;-30,3608253;-21,25257771;TRUE;FALSE
239,3942857;-30,49990581;-21,34993407;TRUE;FALSE
240,0604082;-30,63898632;-21,44729042;TRUE;FALSE
240,7265306;-30,77806683;-21,54464678;TRUE;FALSE
241,3926531;-30,91714734;-21,64200314;TRUE;FALSE
242,0587755;-31,05622785;-21,7393595;TRUE;FALSE
242,724898;-31,19530837;-21,83671586;TRUE;FALSE
243,3910204;-31,33438888;-21,93407221;TRUE;FALSE
244,0571429;-31,47346939;-22,03142857;TRUE;FALSE
244,7232653;-31,6125499;-22,12878493;TRUE;FALSE
245,3893878;-31,75163041;-22,22614129;TRUE;FALSE
246,0555102;-31,89071092;-22,32349765;TRUE;FALSE
246,7216327;-32,02979143;-22,420854;TRUE;FALSE
247,3877551;-32,16887194;-22,51821036;TRUE;FALSE
248,0538776;-32,30795246;-22,61556672;TRUE;FALSE
248,72;-32,44703297;-22,71292308;TRUE;FALSE
249,3861224;-32,58611348;-22,81027943;TRUE;FALSE
250,0522449;-32,72519399;-22,90763579;TRUE;FALSE
250,7183673;-32,8642745;-23,00499215;TRUE;FALSE
251,3844898;-33,00335501;-23,10234851;TRUE;FALSE
252,0506122;-33,14243552;-23,19970487;TRUE;FALSE
252,7167347;-33,28151603;-23,29706122;TRUE;FALSE
253,3828571;-33,42059655;-23,39441758;TRUE;FALSE
254,0489796;-33,55967706;-23,49177394;TRUE;FALSE
254,715102;-33,69875757;-23,5891303;TRUE;FALSE
255,3812245;-33,83783808;-23,68648666;TRUE;FALSE
256,0473469;-33,97691859;-23,78384301;TRUE;FALSE
256,7134694;-34,1159991;-23,88119937;TRUE;FALSE
257,3795918;-34,25507961;-23,97855573;TRUE;FALSE
258,0457143;-34,39416013;-24,07591209;TRUE;FALSE
258,7118367;-34,53324064;-24,17326845;TRUE;FALSE
259,3779592;-34,67232115;-24,2706248;TRUE;FALSE
260,0440816;-34,81140166;-24,36798116;TRUE;FALSE
260,7102041;-34,95048217;-24,46533752;TRUE;FALSE
261,3763265;-35,08956268;-24,56269388;TRUE;FALSE
262,042449;-35,22864319;-24,66005024;TRUE;FALSE
262,7085714;-35,3677237;-24,75740659;TRUE;FALSE
263,3746939;-35,50680422;-24,85476295;TRUE;FALSE
264,0408163;-35,64588473;-24,95211931;TRUE;FALSE
264,7069388;-35,78496524;-25,04947567;TRUE;FALSE
265,3730612;-35,92404575;-25,14683203;TRUE;FALSE
266,0391837;-36,06312626;-25,24418838;TRUE;FALSE
266,7053061;-36,20220677;-25,34154474;TRUE;FALSE
267,3714286;-36,34128728;-25,4389011;TRUE;FALSE
268,037551;-36,4803678;-25,53625746;TRUE;FALSE
268,7036735;-36,61944831;-25,63361381;TRUE;FALSE
269,3697959;-36,75852882;-25,73097017;TRUE;FALSE
270,0359184;-36,89760933;-25,82832653;TRUE;FALSE
270,7020408;-37,03668984;-25,92568289;TRUE;FALSE
271,3681633;-37,17577035;-26,02303925;TRUE;FALSE
272,0342857;-37,31485086;-26,1203956;TRUE;FALSE
272,7004082;-37,45393137;-26,21775196;TRUE;FALSE
273,3665306;-37,59301189;-26,31510832;TRUE;FALSE
274,0326531;-37,7320924;-26,41246468;TRUE;FALSE
274,6987755;-37,87117291;-26,50982104;TRUE;FALSE
275,364898;-38,01025342;-26,60717739;TRUE;FALSE
276,0310204;-38,14933393;-26,70453375;TRUE;FALSE
276,6971429;-38,28841444;-26,80189011;TRUE;FALSE
277,3632653;-38,42749495;-26,89924647;TRUE;FALSE
278,0293878;-38,56657547;-26,99660283;TRUE;FALSE
278,6955102;-38,70565598;-27,09395918;TRUE;FALSE
279,3616327;-38,84473649;-27,19131554;TRUE;FALSE
280,0277551;-38,983817;-27,2886719;TRUE;FALSE
280,6938776;-39,12289751;-27,38602826;TRUE;FALSE
281,36;-39,26197802;-27,48338462;TRUE;FALSE
282,0261224;-39,40105853;-27,58074097;TRUE;FALSE
282,6922449;-39,54013904;-27,67809733;TRUE;FALSE
283,3583673;-39,67921956;-27,77545369;TRUE;FALSE
284,0244898;-39,81830007;-27,87281005;TRUE;FALSE
284,6906122;-39,95738058;-27,97016641;TRUE;FALSE
285,3567347;-40,09646109;-28,06752276;TRUE;FALSE
286,0228571;-40,2355416;-28,16487912;TRUE;FALSE
286,6889796;-40,37462211;-28,26223548;TRUE;FALSE
287,355102;-40,51370262;-28,35959184;TRUE;FALSE
288,0212245;-40,65278314;-28,45694819;TRUE;FALSE
288,6873469;-40,79186365;-28,55430455;TRUE;FALSE
289,3534694;-40,93094416;-28,65166091;TRUE;FALSE
290,0195918;-41,07002467;-28,74901727;TRUE;FALSE
290,6857143;-41,20910518;-28,84637363;TRUE;FALSE
291,3518367;-41,34818569;-28,94372998;TRUE;FALSE
292,0179592;-41,4872662;-29,04108634;TRUE;FALSE
292,6840816;-41,62634671;-29,1384427;TRUE;FALSE
293,3502041;-41,76542723;-29,23579906;TRUE;FALSE
294,0163265;-41,90450774;-29,33315542;TRUE;FALSE
294,682449;-42,04358825;-29,43051177;TRUE;FALSE
295,3485714;-42,18266876;-29,52786813;TRUE;FALSE
296,0146939;-42,32174927;-29,62522449;TRUE;FALSE
296,6808163;-42,46082978;-29,72258085;TRUE;FALSE
297,3469388;-42,59991029;-29,81993721;TRUE;FALSE
298,0130612;-42,73899081;-29,91729356;TRUE;FALSE
298,6791837;-42,87807132;-30,01464992;TRUE;FALSE
299,3453061;-43,01715183;-30,11200628;TRUE;FALSE
300,0114286;-43,15623234;-30,20936264;TRUE;FALSE
300,677551;-43,29531285;-30,306719;TRUE;FALSE
